Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,2.0,3.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
cross-doc,Faithfulness,2.5,3.5,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
cross-doc,Multi-hop reasoning,2.5,3.0,Hai phương pháp gần nhau.
cross-doc,Latency (s),3.42,4.319,Flat RAG thường rẻ/nhanh hơn.
cross-doc,Token usage,756.0,754.0,GraphRAG không đắt hơn trong sample này.
factoid,Comprehensiveness,1.0,1.0,Hai phương pháp gần nhau.
factoid,Faithfulness,1.0,1.0,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,1.0,1.0,Hai phương pháp gần nhau.
factoid,Latency (s),1.046,1.199,Flat RAG thường rẻ/nhanh hơn.
factoid,Token usage,556.0,580.0,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Comprehensiveness,1.0,5.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
multi-hop,Faithfulness,1.0,5.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
multi-hop,Multi-hop reasoning,1.0,5.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
multi-hop,Latency (s),1.297,1.658,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Token usage,646.0,764.0,Flat RAG thường rẻ/nhanh hơn.
